"filename", "language", "Makefile", "C", "Markdown", "comment", "blank", "total"
"/home/lee/stm32f407_boot/Log/240821.md", "Markdown", 0, 0, 11, 0, 7, 18
"/home/lee/stm32f407_boot/Log/250820.md", "Markdown", 0, 0, 59, 0, 17, 76
"/home/lee/stm32f407_boot/Makefile", "Makefile", 120, 0, 0, 14, 30, 164
"/home/lee/stm32f407_boot/README.md", "Markdown", 0, 0, 9, 0, 1, 10
"/home/lee/stm32f407_boot/boot/arginfo.c", "C", 0, 22, 0, 2, 9, 33
"/home/lee/stm32f407_boot/boot/arginfo.h", "C", 0, 6, 0, 0, 7, 13
"/home/lee/stm32f407_boot/boot/bootloader.c", "C", 0, 166, 0, 10, 33, 209
"/home/lee/stm32f407_boot/boot/button.c", "C", 0, 16, 0, 1, 4, 21
"/home/lee/stm32f407_boot/boot/button.h", "C", 0, 6, 0, 0, 7, 13
"/home/lee/stm32f407_boot/boot/flash_layout.h", "C", 0, 9, 0, 0, 7, 16
"/home/lee/stm32f407_boot/boot/led.c", "C", 0, 35, 0, 1, 11, 47
"/home/lee/stm32f407_boot/boot/led.h", "C", 0, 9, 0, 0, 7, 16
"/home/lee/stm32f407_boot/boot/lowlevel.c", "C", 0, 10, 0, 0, 2, 12
"/home/lee/stm32f407_boot/boot/main.c", "C", 0, 71, 0, 10, 15, 96
"/home/lee/stm32f407_boot/boot/main.h", "C", 0, 28, 0, 0, 12, 40
"/home/lee/stm32f407_boot/boot/norflash.c", "C", 0, 58, 0, 1, 9, 68
"/home/lee/stm32f407_boot/boot/norflash.h", "C", 0, 8, 0, 0, 7, 15
"/home/lee/stm32f407_boot/boot/override/_printf.c", "C", 0, 33, 0, 0, 7, 40
"/home/lee/stm32f407_boot/boot/override/_printf_.c", "C", 0, 648, 0, 150, 117, 915
"/home/lee/stm32f407_boot/boot/override/_printf_.h", "C", 0, 18, 0, 79, 21, 118
"/home/lee/stm32f407_boot/boot/override/_putchar.c", "C", 0, 4, 0, 0, 4, 8
"/home/lee/stm32f407_boot/boot/uart.c", "C", 0, 63, 0, 1, 12, 76
"/home/lee/stm32f407_boot/boot/uart.h", "C", 0, 9, 0, 0, 5, 14
"/home/lee/stm32f407_boot/boot/utils.c", "C", 0, 22, 0, 0, 8, 30
"/home/lee/stm32f407_boot/component/crc/crc32.c", "C", 0, 32, 0, 2, 13, 47
"/home/lee/stm32f407_boot/component/crc/crc32.h", "C", 0, 6, 0, 0, 7, 13
"/home/lee/stm32f407_boot/component/easylogger/inc/elog.h", "C", 0, 214, 0, 47, 36, 297
"/home/lee/stm32f407_boot/component/easylogger/inc/elog_cfg.h", "C", 0, 28, 0, 55, 3, 86
"/home/lee/stm32f407_boot/component/easylogger/port/elog_port.c", "C", 0, 70, 0, 0, 19, 89
"/home/lee/stm32f407_boot/component/easylogger/src/elog.c", "C", 0, 559, 0, 276, 102, 937
"/home/lee/stm32f407_boot/component/easylogger/src/elog_utils.c", "C", 0, 36, 0, 56, 12, 104
"/home/lee/stm32f407_boot/component/ringbuffer/ringbuffer8.c", "C", 0, 69, 0, 0, 25, 94
"/home/lee/stm32f407_boot/component/ringbuffer/ringbuffer8.h", "C", 0, 14, 0, 0, 9, 23
"/home/lee/stm32f407_boot/platform/cmsis/core/arm_common_tables.h", "C", 0, 82, 0, 44, 11, 137
"/home/lee/stm32f407_boot/platform/cmsis/core/arm_const_structs.h", "C", 0, 32, 0, 41, 7, 80
"/home/lee/stm32f407_boot/platform/cmsis/core/arm_math.h", "C", 0, 2935, 0, 3403, 1219, 7557
"/home/lee/stm32f407_boot/platform/cmsis/core/core_cm4.h", "C", 0, 1033, 0, 416, 410, 1859
"/home/lee/stm32f407_boot/platform/cmsis/core/core_cmFunc.h", "C", 0, 241, 0, 303, 121, 665
"/home/lee/stm32f407_boot/platform/cmsis/core/core_cmInstr.h", "C", 0, 288, 0, 473, 156, 917
"/home/lee/stm32f407_boot/platform/cmsis/core/core_cmSimd.h", "C", 0, 495, 0, 50, 153, 698
"/home/lee/stm32f407_boot/platform/cmsis/device/stm32f4xx.h", "C", 0, 9451, 0, 1255, 1361, 12067
"/home/lee/stm32f407_boot/platform/cmsis/device/stm32f4xx_conf.h", "C", 0, 102, 0, 40, 23, 165
"/home/lee/stm32f407_boot/platform/cmsis/device/system_stm32f4xx.c", "C", 0, 496, 0, 748, 144, 1388
"/home/lee/stm32f407_boot/platform/cmsis/device/system_stm32f4xx.h", "C", 0, 12, 0, 64, 22, 98
"/home/lee/stm32f407_boot/platform/driver/inc/misc.h", "C", 0, 49, 0, 87, 35, 171
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_adc.h", "C", 0, 344, 0, 222, 83, 649
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_can.h", "C", 0, 264, 0, 273, 113, 650
